Table: prereq
course prereq 
DET255 DET220 
DET260 DET220 
DET315 DET255 

Table: section_course
courseID sectionID 
DET255 10111 
DET260 10112 
DET315 10113 

Table: college
id name 
COAHS College of Arts, Humanities and Social Sciences 
COSAE College of Science and Engineering 
COBS College of Biblical Studies 
COBA College of Business Administration 
COHABS College of Health and Behavioral Sciences 
COHAHS College of Health and Human Services 
COLAPS College of Leadership and Professional Studies 
CON College of Nursing 
COH College of Honors 
COLAD College of Learning and Development 

Table: student
id firstname lastname 
1 Stu1 Student1 
2 Stu2 Student2 
3 Stu3 Student3 
4 Stu4 Student4 
5 Stu5 Student5 
6 Stu6 Student6 
7 Stu7 Student7 
8 Stu8 Student8 
9 Stu9 Student9 
10 Stu10 Student10 
11 Stu11 Student11 
12 Stu12 Student12 
13 Stu13 Student13 
14 Stu14 Student14 
15 Stu15 Student15 
16 Stu16 Student16 
17 Stu17 Student17 
18 Stu18 Student18 
19 Stu19 Student19 
20 Stu20 Student20 
21 Stu21 Student21 
22 Stu22 Student22 
23 Stu23 Student23 
24 Stu24 Student24 
25 Stu25 Student25 
26 Stu26 Student26 
27 Stu27 Student27 
28 Stu28 Student28 
29 Stu29 Student29 
30 Stu30 Student30 
31 Stu31 Student31 
32 Stu32 Student32 
33 Stu33 Student33 
34 Stu34 Student34 
35 Stu35 Student35 
36 Stu36 Student36 
37 Stu37 Student37 
38 Stu38 Student38 
39 Stu39 Student39 
40 Stu40 Student40 
41 Stu41 Student41 
42 Stu42 Student42 
43 Stu43 Student43 
44 Stu44 Student44 
45 Stu45 Student45 
46 Stu46 Student46 
47 Stu47 Student47 
48 Stu48 Student48 
49 Stu49 Student49 
50 Stu50 Student50 
51 Stu51 Student51 
52 Stu52 Student52 
53 Stu53 Student53 
54 Stu54 Student54 
55 Stu55 Student55 
56 Stu56 Student56 
57 Stu57 Student57 
58 Stu58 Student58 
59 Stu59 Student59 
60 Stu60 Student60 
61 Stu61 Student61 
62 Stu62 Student62 
63 Stu63 Student63 
64 Stu64 Student64 
65 Stu65 Student65 
66 Stu66 Student66 
67 Stu67 Student67 
68 Stu68 Student68 
69 Stu69 Student69 
70 Stu70 Student70 
71 Stu71 Student71 
72 Stu72 Student72 
73 Stu73 Student73 
74 Stu74 Student74 
75 Stu75 Student75 
76 Stu76 Student76 
77 Stu77 Student77 
78 Stu78 Student78 
79 Stu79 Student79 
80 Stu80 Student80 
81 Stu81 Student81 
82 Stu82 Student82 
83 Stu83 Student83 
84 Stu84 Student84 
85 Stu85 Student85 
86 Stu86 Student86 
87 Stu87 Student87 
88 Stu88 Student88 
89 Stu89 Student89 
90 Stu90 Student90 
91 Stu91 Student91 
92 Stu92 Student92 
93 Stu93 Student93 
94 Stu94 Student94 
95 Stu95 Student95 
96 Stu96 Student96 
97 Stu97 Student97 
98 Stu98 Student98 
99 Stu99 Student99 
100 Stu100 Student100 
101 Stu101 Student101 
102 Stu102 Student102 
103 Stu103 Student103 
104 Stu104 Student104 
105 Stu105 Student105 
106 Stu106 Student106 
107 Stu107 Student107 
108 Stu108 Student108 
109 Stu109 Student109 
110 Stu110 Student110 
111 Stu111 Student111 
112 Stu112 Student112 
113 Stu113 Student113 
114 Stu114 Student114 
115 Stu115 Student115 
116 Stu116 Student116 
117 Stu117 Student117 
118 Stu118 Student118 
119 Stu119 Student119 
120 Stu120 Student120 
121 Stu121 Student121 
122 Stu122 Student122 
123 Stu123 Student123 
124 Stu124 Student124 
125 Stu125 Student125 
126 Stu126 Student126 
127 Stu127 Student127 
128 Stu128 Student128 
129 Stu129 Student129 
130 Stu130 Student130 
131 Stu131 Student131 
132 Stu132 Student132 
133 Stu133 Student133 
134 Stu134 Student134 
135 Stu135 Student135 
136 Stu136 Student136 
137 Stu137 Student137 
138 Stu138 Student138 
139 Stu139 Student139 
140 Stu140 Student140 
141 Stu141 Student141 
142 Stu142 Student142 
143 Stu143 Student143 
